name,time,settingskey,settingsvalue
MSCSettings,1699234747000000000,isBrakeArray,x2222222122222222
MSCSettings,1699235047000000000,isBrakeArray,x2222222112222222
MSCSettings,1699235065000000000,userStopSchema,12/12/12/13/12/12/12/6/2/12/12/13/12/12/12/13
MSCSettings,1699235107000000000,isBrakeArray,x2222222122222222
MSCSettings,1699235125000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/12/13/12/12/12/13
MSCSettings,1699235227000000000,isBrakeArray,x1112222122122222
MSCSettings,1699235245000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/2/13/12/12/12/13
MSCSettings,1699235287000000000,isBrakeArray,x2222222122222222
MSCSettings,1699235305000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/12/13/12/12/12/13
MSCSettings,1699235347000000000,isBrakeArray,x22221222
MSCSettings,1699235407000000000,isBrakeArray,x2222222122222222
MSCSettings,1699235647000000000,isBrakeArray,x1111111111111111
MSCSettings,1699235707000000000,isBrakeArray,x2222222122222111
MSCSettings,1699235767000000000,isBrakeArray,x2222222122222222
MSCSettings,1699236307000000000,isBrakeArray,x1111111111111111
MSCSettings,1699236367000000000,isBrakeArray,x2222222122222222
MSCSettings,1699236787000000000,isBrakeArray,x2222222122222
MSCSettings,1699236847000000000,isBrakeArray,x2212222122222222
MSCSettings,1699236907000000000,isBrakeArray,x2222222122222222
MSCSettings,1699237507000000000,isBrakeArray,x2222222122222
MSCSettings,1699237567000000000,isBrakeArray,x2222222122222222
MSCSettings,1699238227000000000,isBrakeArray,x22222221222222
MSCSettings,1699238287000000000,isBrakeArray,x2222222122222222
MSCSettings,1699238947000000000,isBrakeArray,x22222221222222
MSCSettings,1699239007000000000,isBrakeArray,x1111111111111111
MSCSettings,1699239187000000000,isBrakeArray,x2211111111111111
MSCSettings,1699239247000000000,isBrakeArray,x2222222122222222
MSCSettings,1699239667000000000,isBrakeArray,x2222222122222
MSCSettings,1699239727000000000,isBrakeArray,x1122222122122222
MSCSettings,1699239746000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/2/13/12/12/2/13
MSCSettings,1699239787000000000,isBrakeArray,x2222222122222222
MSCSettings,1699239806000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/12/13/12/12/12/13
MSCSettings,1699240027000000000,isBrakeArray,x1111111111111111
MSCSettings,1699240087000000000,isBrakeArray,x2222122122221221
MSCSettings,1699240106000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/12/13/2/12/12/13
MSCSettings,1699240147000000000,isBrakeArray,x2222222122222222
MSCSettings,1699240166000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/12/13/12/12/12/13
MSCSettings,1699240387000000000,isBrakeArray,x22221
MSCSettings,1699240447000000000,isBrakeArray,x2212222112122222
MSCSettings,1699240466000000000,userStopSchema,12/12/12/13/12/12/12/6/2/12/2/13/12/12/2/13
MSCSettings,1699240507000000000,isBrakeArray,x2222222122222222
MSCSettings,1699240526000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/12/13/12/12/12/13
MSCSettings,1699240627000000000,isBrakeArray,x1222221122222222
MSCSettings,1699240687000000000,isBrakeArray,x2222222122222222
MSCSettings,1699240826000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/12/13/12/2/12/13
MSCSettings,1699240867000000000,isBrakeArray,x2222222122222122
MSCSettings,1699240871000000000,isNormalOPActivated,false
MSCSettings,1699240886000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/12/13/12/12/12/13
MSCSettings,1699240927000000000,isBrakeArray,x2222222122222222
MSCSettings,1699240931000000000,isNormalOPActivated,true
MSCSettings,1699240987000000000,isBrakeArray,x2212222122222222
MSCSettings,1699241047000000000,isBrakeArray,x2222222122222222
MSCSettings,1699241107000000000,isBrakeArray,x222221222
MSCSettings,1699241167000000000,isBrakeArray,x2222222122222222
MSCSettings,1699241407000000000,isBrakeArray,x1111111111111111
MSCSettings,1699241467000000000,isBrakeArray,x2222222121111111
MSCSettings,1699241527000000000,isBrakeArray,x2222222122222222
MSCSettings,1699241887000000000,isBrakeArray,x2222221122122222
MSCSettings,1699241906000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/2/13/12/12/12/13
MSCSettings,1699241947000000000,isBrakeArray,x2222222122222222
MSCSettings,1699241966000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/12/13/12/12/12/13
MSCSettings,1699243268000000000,isBrakeArray,x22222221222222
MSCSettings,1699243328000000000,isBrakeArray,x2222222122222222
MSCSettings,1699243988000000000,isBrakeArray,x2222222122222
MSCSettings,1699244048000000000,isBrakeArray,x2222222122222222
MSCSettings,1699244708000000000,isBrakeArray,x222222212222222
MSCSettings,1699244768000000000,isBrakeArray,x2222222122222222
MSCSettings,1699246028000000000,isBrakeArray,x2222212122222222
MSCSettings,1699246088000000000,isBrakeArray,x2222222122222222
MSCSettings,1699246148000000000,isBrakeArray,x222222122222
MSCSettings,1699246208000000000,isBrakeArray,x2222222122222222
MSCSettings,1699250469000000000,isBrakeArray,x222222212222222
MSCSettings,1699250529000000000,isBrakeArray,x2222222122222222
MSCSettings,1699251069000000000,isBrakeArray,x2222221122222222
MSCSettings,1699251129000000000,isBrakeArray,x2222222122222222
MSCSettings,1699255686000000000,VPNstate,true
MSCSettings,1699257486000000000,VPNstate,false
MSCSettings,1699257666000000000,VPNstate,true
MSCSettings,1699257670000000000,isBrakeArray,x22222221222222
MSCSettings,1699257730000000000,isBrakeArray,x2222222122222222
MSCSettings,1699257790000000000,isBrakeArray,x2222222222222222
MSCSettings,1699257808000000000,userStopSchema,12/12/12/13/12/12/12/16/12/12/12/13/12/12/12/13
MSCSettings,1699258390000000000,isBrakeArray,x222222222222222
MSCSettings,1699258450000000000,isBrakeArray,x2222222222222222
MSCSettings,1699259466000000000,VPNstate,false
MSCSettings,1699259830000000000,isBrakeArray,x22222222222222
MSCSettings,1699259890000000000,isBrakeArray,x2222222222222222
MSCSettings,1699259950000000000,isBrakeArray,x1111111111111111
MSCSettings,1699260010000000000,isBrakeArray,x2222222222222222
MSCSettings,1699260430000000000,isBrakeArray,x1222212212222222
MSCSettings,1699260434000000000,isNormalOPActivated,false
MSCSettings,1699260490000000000,isBrakeArray,x1111111111111111
MSCSettings,1699260494000000000,isNormalOPActivated,true
MSCSettings,1699260550000000000,isBrakeArray,x2222111111111111
MSCSettings,1699260610000000000,isBrakeArray,x2222222222222222
MSCSettings,1699260970000000000,isBrakeArray,x1222212112221222
MSCSettings,1699260974000000000,isNormalOPActivated,false
MSCSettings,1699260989000000000,userStopSchema,12/12/12/13/12/12/12/12/12/12/12/13/2/12/12/13
MSCSettings,1699261030000000000,isBrakeArray,x2222222222222222
MSCSettings,1699261034000000000,isNormalOPActivated,true
MSCSettings,1699261049000000000,userStopSchema,12/12/12/13/12/12/12/12/12/12/12/13/12/12/12/13
MSCSettings,1699261270000000000,isBrakeArray,x22222222222
MSCSettings,1699261330000000000,isBrakeArray,x2222222222222222
MSCSettings,1699263430000000000,isBrakeArray,x222222222222
MSCSettings,1699263490000000000,isBrakeArray,x2222222222222222
MSCSettings,1699264150000000000,isBrakeArray,x22222222222222
MSCSettings,1699264210000000000,isBrakeArray,x2222222222222222
MSCSettings,1699277112000000000,isBrakeArray,x222222222222222
MSCSettings,1699277172000000000,isBrakeArray,x2222222222222222
MSCSettings,1699345813000000000,VPNstate,true
MSCSettings,1699347613000000000,VPNstate,false
MSCSettings,1699365738000000000,isBrakeArray,x2222222222222212
MSCSettings,1699365757000000000,userStopSchema,12/12/12/13/12/12/12/12/12/12/12/13/12/12/2/13
MSCSettings,1699365798000000000,isBrakeArray,x2222222222222222
MSCSettings,1699365817000000000,userStopSchema,12/12/12/13/12/12/12/12/12/12/12/13/12/12/12/13
MSCSettings,1699370479000000000,isBrakeArray,x1111111111111111
MSCSettings,1699372519000000000,isBrakeArray,x2221111111111111
MSCSettings,1699372579000000000,isBrakeArray,x2222222222222222
MSCSettings,1699372879000000000,isBrakeArray,x222222222
MSCSettings,1699372939000000000,isBrakeArray,x2222222222222222
MSCSettings,1699427846000000000,isBrakeArray,x2222222222221222
MSCSettings,1699427906000000000,isBrakeArray,x2222222222222222
MSCSettings,1699448793000000000,StandbyModeDeactivatorTimePeriod,600000
MSCSettings,1699448794000000000,StormBlockerReleaseWindSpeed,15
MSCSettings,1699448795000000000,StormBlockerTimePeriod,180000
